dataset,model_type,past,coupling_layers,channels,hidden_multiplier,st_net_layers,encoder_layers,encoder_size,normalized,z_score,time_features,AUC_ROC,AUC_PR,Precision,Recall,F,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_ROC,VUS_PR,Affiliation_Precision,Affiliation_Recall,sliding_window,dataset_full,path
4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps,RealNVP,1,13,4,23,6,0,0,True,False,,0.4925968547854719,0.0002736786394831,0.0004395215319767,0.5255474452554745,0.0008783085241672,0.5255474452554745,0.009055406027028,0.542292490118577,0.0178133578372627,0.4902366865783314,0.0015632016124442,0.4556539011470329,0.0009207876716795,0.8813433039243301,0.0812719359472405,125.0,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,../results/TFselfopt-srb/run-20241204_122736-08kdte5s
4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps,tcNF-base,4,3,4,20,5,0,0,True,False,,0.5595378821022684,0.0003374352284557,0.0004068098860375,0.5367647058823529,0.000813003602831,0.5367647058823529,0.0002139333496205,0.5393939393939394,0.0004276970668825,0.5437973594025017,0.0032411832054472,0.5238841761168771,0.0017763022472171,0.4713850142029364,0.2589569707336373,125.0,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,../results/TFselfopt-srb/run-20250109_092807-phvhc9o8
4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps,tcNF-cnn,12,6,4,46,3,1,6,True,False,,0.5611949419525258,0.0003026776313784,0.0003943674046766,0.6764705882352942,0.0007882752622943,0.6764705882352942,0.0256280561341152,0.7064935064935066,0.0494618821984151,0.5589737874913548,0.0031117705133958,0.5401053861456357,0.0017201974881168,0.796120153288771,0.1579004062669216,125.0,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps,../results/TFselfopt-srb/run-20250108_004046-a5m46p1l
4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps,tcNF-mlp,86,17,4,14,7,13,0,True,False,,0.5252522189839685,0.0002796432801853,0.0003587890657976,0.625,0.000717166433236,0.625,0.0030105786681051,0.6303030303030304,0.0059925346008435,0.5184875360995383,0.0028572853653584,0.4989810308916216,0.0015821932088571,0.4320145956503781,0.1627198274652213,125.0,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,../results/TFselfopt-srb/run-20250110_025807-tq8m0cr7
4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps,tcNF-stateless,54,3,4,50,3,1,0,True,False,,0.5132065385525536,0.0003162456695837,0.0003259135890003,0.8941605839416058,0.0006515896793513,0.8941605839416058,0.000174265544307,0.8712727272727272,0.0003484613919367,0.4638405026640068,0.0014401055831348,0.4379519586112789,0.0008537372410148,0.7947975190261216,0.1584077625954139,125.0,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps,../results/TFselfopt-srb/run-20241204_235245-2a2792dr
4-lotka_volterra-2-prey-2-predator-300-cooldown-short,RealNVP,1,13,4,3,3,0,0,True,False,,0.6269520079869668,0.0008180789500615,0.0020401917780271,0.6451612903225806,0.0040675208460443,0.6451612903225806,0.0108198882431515,0.6533333333333333,0.021287237410105,0.6337820740244274,0.0044113367769735,0.6034047315962143,0.002647161400043,0.0829943545152859,0.0334145707272142,125.0,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,../results/TFselfopt-srb/run-20241202_055551-54ciqqtr
4-lotka_volterra-2-prey-2-predator-300-cooldown-short,tcNF-base,99,3,4,18,8,0,0,True,False,,0.802108900352323,0.001003044173064,0.000685246969748,0.9838709677419356,0.0013695400814988,0.9838709677419356,0.0013844977003161,0.9873015873015872,0.0027651178627337,0.8116427895368014,0.0056508369547535,0.7952652032047238,0.003273806455555,0.2104514840576463,0.2321753998762426,125.0,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,../results/TFselfopt-srb/run-20241202_124252-rie1ex5d
4-lotka_volterra-2-prey-2-predator-300-cooldown-short,tcNF-cnn,84,6,4,31,8,3,3,True,False,,0.723933582978856,0.0005826847371879,0.0007591408019513,0.9838709677419356,0.001517111022682,0.9838709677419356,0.0209556520182583,0.9873015873015872,0.0410402180985538,0.6952440161123807,0.0029429855652067,0.6835648350942879,0.0017186465667955,0.4655741748964076,0.3243787268421254,125.0,4-lotka_volterra-2-prey-2-predator-300-cooldown-short-no-anomaly,../results/TFselfopt-srb/run-20250108_173114-pilm070q
4-lotka_volterra-2-prey-2-predator-300-cooldown-short,tcNF-mlp,19,3,4,10,5,3,0,True,False,,0.7772284544302539,0.0006745360518731,0.0009101489063292,0.9838709677419356,0.0018186154671754,0.9838709677419356,0.0237660436729981,0.9866666666666668,0.0464141013067735,0.7524504695591047,0.0034760830793461,0.744854327897414,0.0020882843057582,0.5917002655527067,0.9730196178292588,125.0,4-lotka_volterra-2-prey-2-predator-300-cooldown-short,../results/TFselfopt-srb/run-20241203_184721-b82vcrl6
4-lotka_volterra-2-prey-2-predator-300-cooldown-short,tcNF-stateless,87,15,4,49,7,3,0,True,False,,0.5848401194883732,0.0004296994832668,0.0006151722482295,0.6612903225806451,0.0012292010193374,0.6612903225806451,0.0039345919488562,0.653968253968254,0.0078221221958211,0.5542296216894262,0.0022129553146439,0.5305510868251379,0.0013160676724692,0.1239816020064714,0.0553695592401939,125.0,4-lotka_volterra-2-prey-2-predator-300-cooldown-short-no-anomaly,../results/TFselfopt-srb/run-20241205_044119-wgjphcvi
4-lotka_volterra-3-prey-2-predator-300-cooldown-short,RealNVP,1,3,4,18,6,0,0,True,False,,0.7511294620271491,0.0002201186330823,0.0003907929188323,0.9523809523809524,0.000781265259087,0.9523809523809524,0.0017403411068569,0.9619047619047618,0.0034743961086763,0.7555039210484278,0.000762935115499,0.7542146812923456,0.0004867250753056,0.7354158961024233,0.911140256986216,125.0,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,../results/TFselfopt-srb/run-20250108_190454-hbk9ezvv
4-lotka_volterra-3-prey-2-predator-300-cooldown-short,tcNF-base,6,9,4,1,5,0,0,True,False,,0.9375868896306344,0.0008792975668164,0.001573564122738,0.9523809523809524,0.003141937004163,0.9523809523809524,0.0952380952380952,0.9619047619047618,0.1733161733161733,0.9381685785127462,0.0038635396866037,0.9379106658824168,0.0025959329833358,0.8773393775258347,1.0,125.0,4-lotka_volterra-3-prey-2-predator-300-cooldown-short,../results/TFselfopt-srb/run-20250107_195430-13960ybc
4-lotka_volterra-3-prey-2-predator-300-cooldown-short,tcNF-cnn,12,4,4,21,6,3,6,True,False,,0.9843886531075864,0.0033799101755132,0.0056753688989784,0.9523809523809524,0.0112834978843441,0.9523809523809524,0.0017015484090522,0.9619047619047618,0.0033970875859992,0.9878778098714583,0.0134845587903554,0.9862439238204536,0.0081701839461516,0.9914366695479124,0.995703258487949,125.0,4-lotka_volterra-3-prey-2-predator-300-cooldown-short,../results/TFselfopt-srb/run-20250109_221459-ntvswq1x
4-lotka_volterra-3-prey-2-predator-300-cooldown-short,tcNF-mlp,33,4,4,49,5,19,0,True,False,,0.9268179017709042,0.0007268724563805,0.0010141473556107,0.9523809523809524,0.0020261371694863,0.9523809523809524,0.0075757575757575,0.9619047619047618,0.0150331175113492,0.9301040039746894,0.0025758391420862,0.9296925601375672,0.0016377367423924,0.7754808311923174,1.0,125.0,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,../results/TFselfopt-srb/run-20250111_021207-wd1eif6l
4-lotka_volterra-3-prey-2-predator-300-cooldown-short,tcNF-stateless,86,3,4,26,3,1,0,True,False,,0.7829348837454309,0.0002516721489771,0.000440829641385,0.9523809523809524,0.0008812513769552,0.9523809523809524,0.0002695599433924,0.9619047619047618,0.0005389688485344,0.7887171307553911,0.0008724750849021,0.7864573750336749,0.0005538427058368,0.6932037130524962,1.0,125.0,4-lotka_volterra-3-prey-2-predator-300-cooldown-short,../results/TFselfopt-srb/run-20241205_074050-a22rvtri
4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,RealNVP,1,3,4,24,5,0,0,True,False,,0.5365633600264674,0.0003039143983163,0.0004173840454948,0.5454545454545454,0.0008341298114519,0.5454545454545454,0.0014736527359457,0.5398601398601399,0.0029392821324441,0.533971191238103,0.0030276355338801,0.5123574328460749,0.0016611263771422,0.6340328833683626,0.3299708459196939,125.0,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,../results/TFselfopt-srb/run-20250108_034757-3rsp3xni
4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,tcNF-base,1,11,4,10,3,0,0,True,False,,0.6159648109831697,0.0003759721746272,0.0004512761779086,0.5513307984790875,0.0009018142013968,0.5513307984790875,0.002919921094027,0.5427609427609428,0.0058085933766696,0.5775042803664608,0.0019873058331607,0.5540517284839315,0.0011652057774346,0.5851132598135729,0.6040382341685407,125.0,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,../results/TFselfopt-srb/run-20241202_135438-7p1phnm2
4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,tcNF-cnn,53,12,4,14,3,5,5,True,False,,0.6196210433312408,0.0003334658359766,0.0004742055973583,0.8326996197718631,0.0009478714011184,0.8326996197718631,0.0025204930981555,0.8153846153846154,0.005025451666958,0.597541969286341,0.0017762914046201,0.5837998155911184,0.0010753269475133,0.5352440500321627,0.3800552403945531,125.0,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps-no-anomaly,../results/TFselfopt-srb/run-20241204_081109-thusx2fq
4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,tcNF-mlp,19,3,4,27,3,3,0,True,False,,0.5126443009028483,0.0002717131032165,0.0004364379236697,0.3560606060606061,0.0008718072378549,0.3560606060606061,0.0011451488676639,0.358041958041958,0.0022829958812029,0.4868028201764333,0.0027100114601254,0.4656153013922899,0.001489174622141,0.5425643533732047,0.4434412659023868,125.0,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,../results/TFselfopt-srb/run-20250111_052715-hjlcpof4
4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,tcNF-stateless,85,8,4,2,4,1,0,True,False,,0.4912612990430735,0.0003130709372737,0.0006066801299791,0.2775665399239543,0.0012107139895513,0.2775665399239543,0.0424196577405661,0.2692640692640692,0.0732928200633589,0.4160644427435511,0.0014387936783844,0.3882710106943326,0.0008505101928629,0.6486701251213202,0.4193083508143685,125.0,4-lotka_volterra-3-prey-2-predator-500-cooldown-1-mil-steps,../results/TFselfopt-srb/run-20241205_145933-4q8w12qz
